Drawing Book,150,Shopping,2026-02
Tea Snacks,250,Food,2026-02
Purse ,400,Shopping,2026-08
Groceries,700,Food,2026-08
Train ,900,Travel,2026-08
Pizza,300,Food,2026-02
Shopping,500,Shopping,2026-02
Bag,400,Shopping,2026-08
Groceries ,700,Food,2026-08
Train,900,Travel,2026-08
Lunch,400,Food,2026-09
Movie Ticket,400,Entertainment,2026-09
Rose Bounquet,200,Shopping,2026-09
Chocholates Cadburyyy,300,Food,2026-09
Teddyy,500,Shopping,2026-09
Car CNG,300,Travel,2026-09
Icecream ,200,Food,2026-09
Birthday Dress,700,Shopping,2026-11
Birthday Celebration,3000,Entertainment,2026-11
Kokan Trip,7000,Travel,2026-11
Cafe ,300,Food,2026-11
Ratnagiri Trip,8000,Travel,2026-09
Shopping ,5000,Shopping,2026-09
Cafe,500,Food,2026-09
Villa ,4000,Stay,2026-09
Paragliding n Beachh ,1500,Entertainment,2026-09
Ratnagiri Special Thali ,1700,Food,2026-09
flight Tickets,12000,Travel,2026-12
Hotel stay,10000,Stay,2026-12
Food & snacks,4500,Food,2026-12
Local Taxi ,3000,Travel,2026-12
Snow activities ,4000,Entertainment,2026-12
Shopping ,2500,Shopping,2026-12
Winter Clothes Rental,1500,Travel ,2026-12
cafe,1000,Food,2016-12
Emergency,1500,Utilities,2026-12
Gifts,4000,Shopping,2026-07
